year,code,title,unit_value,offered_by,college,course_subject,areas_of_interest,academic_career,mode_of_delivery,offered_in,url
2026,COMP1100,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Business Information Systems, Computer Science, Information Technology, Software Engineering, Engineering",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1100
2026,COMP1110,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Business Information Systems, Bioinformatics, Computer Science, Information Technology, Software Engineering More...",UGRD,In Person Co-taught Course COMP6710,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1110
2026,COMP1130,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development, Computer Systems",UGRD,In Person Co-taught Course COMP1100,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1130
2026,COMP1140,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Bioinformatics, Computer Science, Mathematics, Information Technology, Software Engineering More...",UGRD,In Person Co-taught Course COMP1110,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1140
2026,COMP1600,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Mathematics, Information Technology, Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP6260,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1600
2026,COMP1710,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Digital Arts, Visual Arts, Information Technology, Software Engineering, Design Arts More...",UGRD,In Person Co-taught Course COMP6780,,https://programsandcourses.anu.edu.au/2026/course/COMP1710
2026,COMP1720,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Digital Arts, Information Technology, Design Arts, Advanced Computing, Creative Arts More...",UGRD,In Person Co-taught Course COMP6720,,https://programsandcourses.anu.edu.au/2026/course/COMP1720
2026,COMP1730,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Medical Science, Psychology, Statistics, Bioinformatics, Materials Science More...",UGRD,In Person Co-taught Course COMP6730,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP1730
2026,COMP2120,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Software Development",UGRD,In Person Co-taught Course COMP6120,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2120
2026,COMP2100,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development",UGRD,In Person Co-taught Course COMP6442,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2100
2026,COMP2300,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Engineering, Computer Systems, Computer Engineering",UGRD,In Person Co-taught Course COMP6300 ENGN2219,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2300
2026,COMP2310,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Information Technology, Software Engineering",UGRD,In Person Co-taught Course COMP6310,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2310
2026,COMP2400,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Information Technology, Software Engineering, Information Systems, Algorithms and Data",UGRD,In Person Co-taught Course COMP6240,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2400
2026,COMP2550,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Advanced Computing",UGRD,In Person,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2550
2026,COMP2610,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Security Studies, Computational Foundations",UGRD,In Person Co-taught Course COMP6261,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2610
2026,COMP2620,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Philosophy, Computer Science, Intelligent Systems, Artifical Intelligence, Computational Foundations",UGRD,In Person Co-taught Course COMP6262,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2620
2026,COMP2710,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology",UGRD,In Person,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2710
2026,COMP2700,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies, Computational Foundations",UGRD,In Person Co-taught Course COMP6800,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP2700
2026,COMP3242,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Science, Robotics, Artifical Intelligence",UGRD,In Person Co-taught Course COMP6242,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3242
2026,COMP3300,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Algorithms and Data, Computer Systems, Computer Engineering",UGRD,In Person Co-taught Course COMP6330,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3300
2026,COMP3310,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",UGRD,In Person Co-taught Course COMP6331 ENGN3539 ENGN6539,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3310
2026,COMP3320,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development, Computer Systems",UGRD,In Person Co-taught Course COMP6464,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3320
2026,COMP3425,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Electronics, Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP8410,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3425
2026,COMP3430,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Advanced Computing, Information - Intensive Computing, Algorithms and Data",UGRD,In Person Co-taught Course COMP8430,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3430
2026,COMP3500,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3500
2026,COMP3540,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Human Centred Computing, Creative Arts",UGRD,In Person Co-taught Course COMP6540,,https://programsandcourses.anu.edu.au/2026/course/COMP3540
2026,COMP3600,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP6466,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3600
2026,COMP3610,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Computational Foundations",UGRD,In Person Co-taught Course COMP6361,See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3610
2026,COMP3630,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Advanced Computing, Computational Foundations",UGRD,In Person Co-taught Course COMP6363,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3630
2026,COMP3620,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Intelligent Systems, Artifical Intelligence",UGRD,In Person Co-taught Course COMP6320,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3620
2026,COMP3670,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Algorithms and Data, Artifical Intelligence, Computer Systems",UGRD,In Person Co-taught Course COMP6670,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3670
2026,COMP3704,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies",UGRD,In Person Co-taught Course COMP6034,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3704
2026,COMP3703,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Security Studies, Artifical Intelligence",UGRD,In Person,,https://programsandcourses.anu.edu.au/2026/course/COMP3703
2026,COMP3710,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology",UGRD,In Person,,https://programsandcourses.anu.edu.au/2026/course/COMP3710
2026,COMP3740,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3740
2026,COMP3770,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Development",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3770
2026,COMP3820,Programs and Courses,12 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development",UGRD,In Person,,https://programsandcourses.anu.edu.au/2026/course/COMP3820
2026,COMP3900,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Human Centred Computing",UGRD,In Person Co-taught Course COMP6390,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP3900
2026,COMP4011,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies, Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP8011,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4011
2026,COMP4020,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,,UGRD,In Person Co-taught Course COMP8020,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4020
2026,COMP4045,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Computer Systems",UGRD,In Person Co-taught Course COMP8045,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4045
2026,COMP4130,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Security Studies, Software Development",UGRD,In Person Co-taught Course COMP8131,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4130
2026,COMP4300,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology",UGRD,In Person Co-taught Course COMP8300,See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4300
2026,COMP4350,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Music, Computer Science, Advanced Computing, Human Centred Computing, Creative Arts",UGRD,In Person Co-taught Course COMP8350,See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4350
2026,COMP4425,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Electronics, Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP8410,See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4425
2026,COMP4450,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Ethics, Advanced Computing",UGRD,In Person Co-taught Course COMP6445,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4450
2026,COMP4500,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Advanced Computing, Software Development, Project Management",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4500
2026,COMP4528,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Engineering, Mechatronics, Advanced Computing, Information Systems",UGRD,In Person Co-taught Course COMP6528 ENGN4528 ENGN6528,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4528
2026,COMP4550,Programs and Courses,12 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4550
2026,COMP4600,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Algorithms and Data, Computational Foundations",UGRD,In Person Co-taught Course COMP8460,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4600
2026,COMP4610,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Human Centred Computing, Intelligent Systems, Computer Systems",UGRD,In Person Co-taught Course COMP8610,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4610
2026,COMP4620,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Robotics, Intelligent Systems, Artifical Intelligence",UGRD,In Person Co-taught Course COMP8620,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4620
2026,COMP4650,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Advanced Computing, Algorithms and Data",UGRD,In Person Co-taught Course COMP6490,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4650
2026,COMP4670,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Intelligent Systems, Algorithms and Data, Artifical Intelligence",UGRD,In Person Co-taught Course COMP8600,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4670
2026,COMP4680,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Robotics, Advanced Computing, Artifical Intelligence",UGRD,In Person Co-taught Course COMP8650,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4680
2026,COMP4712,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Advanced Computing, Computer Systems, Computer Engineering",UGRD,In Person Co-taught Course COMP8712,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4712
2026,COMP4691,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,,UGRD,In Person Co-taught Course COMP8691,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4691
2026,COMP4703,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Security Studies, Artifical Intelligence",UGRD,In Person Co-taught Course COMP8703,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4703
2026,COMP4820,Programs and Courses,12 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Advanced Computing",UGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP4820
2026,COMP6034,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies, Software Development",PGRD,In Person Co-taught Course COMP3704,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6034
2026,COMP6120,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Software Development",PGRD,In Person Co-taught Course COMP2120,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6120
2026,COMP6250,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Ethics, Communications, Computer Systems, Computer Engineering",PGRD,In Person Co-taught Course ENGN6250,,https://programsandcourses.anu.edu.au/2026/course/COMP6250
2026,COMP6260,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Mathematics, Information Technology, Algorithms and Data, Computational Foundations",PGRD,In Person Co-taught Course COMP1600,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6260
2026,COMP6261,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Information Technology, Information Systems, Artifical Intelligence, Computational Foundations",PGRD,In Person Co-taught Course COMP2610,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6261
2026,COMP6262,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Philosophy, Computer Science, Intelligent Systems, Artifical Intelligence, Computational Foundations",PGRD,In Person Co-taught Course COMP2620,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6262
2026,COMP6240,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Business Information Systems, Information Technology, Software Development, Algorithms and Data",PGRD,In Person Co-taught Course COMP2400,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6240
2026,COMP6242,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Science, Robotics, Artifical Intelligence",PGRD,In Person Co-taught Course COMP3242,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6242
2026,COMP6300,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Engineering, Computer Systems, Computer Engineering",PGRD,In Person Co-taught Course COMP2300 ENGN2219,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6300
2026,COMP6310,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Computer Systems, Computer Engineering",PGRD,In Person Co-taught Course COMP2310,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6310
2026,COMP6320,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Intelligent Systems, Artifical Intelligence",PGRD,In Person Co-taught Course COMP3620,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6320
2026,COMP6330,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Algorithms and Data, Computer Systems, Computer Engineering",PGRD,In Person Co-taught Course COMP3300,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6330
2026,COMP6331,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Communications, Computer Engineering",PGRD,In Person Co-taught Course COMP3310 ENGN3539 ENGN6539,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6331
2026,COMP6363,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Advanced Computing, Algorithms and Data",PGRD,In Person Co-taught Course COMP3630,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6363
2026,COMP6361,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society Classification Advanced,Computer Science,Computer Science,PGRD,In Person Co-taught Course COMP3610,See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6361
2026,COMP6390,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Software Engineering, Human Centred Computing",PGRD,In Person Co-taught Course COMP3900,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6390
2026,COMP6434,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,Algorithms and Data,PGRD,In Person Co-taught Course COMP3430,,https://programsandcourses.anu.edu.au/2026/course/COMP6434
2026,COMP6442,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development",PGRD,In Person Co-taught Course COMP2100,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6442
2026,COMP6445,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Ethics, Advanced Computing",PGRD,In Person Co-taught Course COMP4450,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6445
2026,COMP6470,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,,PGRD,In Person,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6470
2026,COMP6466,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Algorithms and Data, Computational Foundations",PGRD,In Person Co-taught Course COMP3600,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6466
2026,COMP6464,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Software Engineering, Software Development, Computer Systems",PGRD,In Person Co-taught Course COMP3320,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6464
2026,COMP6490,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Algorithms and Data, Artifical Intelligence",PGRD,In Person Co-taught Course COMP4650,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6490
2026,COMP6528,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Engineering, Mechatronics, Advanced Computing, Artifical Intelligence",PGRD,In Person Co-taught Course COMP4528 ENGN4528 ENGN6528,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6528
2026,COMP6540,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Human Centred Computing, Creative Arts",PGRD,In Person Co-taught Course COMP3540,,https://programsandcourses.anu.edu.au/2026/course/COMP6540
2026,COMP6670,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Robotics, Intelligent Systems, Artifical Intelligence, Computer Systems",PGRD,In Person Co-taught Course COMP3670,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6670
2026,COMP6710,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Business Information Systems, Computer Science, Software Engineering, Advanced Computing, Intelligent Systems",PGRD,In Person Co-taught Course COMP1110,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6710
2026,COMP6720,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society Classification Transitional,Computer Science,Computer Science,PGRD,In Person Co-taught Course COMP1720,,https://programsandcourses.anu.edu.au/2026/course/COMP6720
2026,COMP6730,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Earth and Marine Sciences, Medical Science, Bioinformatics, Physics, Science",PGRD,In Person Co-taught Course COMP1730,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6730
2026,COMP6780,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Digital Arts, Visual Arts, Electronic Commerce, Information Technology, Software Engineering More...",PGRD,In Person Co-taught Course COMP1710,,https://programsandcourses.anu.edu.au/2026/course/COMP6780
2026,COMP6800,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies, Software Development, Computational Foundations",PGRD,In Person Co-taught Course COMP2700,First Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP6800
2026,COMP7710,Programs and Courses,12 units,School of Computing,ANU College of Systems and Society,Computer Science,"Business Information Systems, Computer Science, Software Engineering, Advanced Computing, Intelligent Systems",PGRD,In Person,First Semester 2026 Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP7710
2026,COMP8011,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Security Studies, Algorithms and Data, Computational Foundations",PGRD,In Person Co-taught Course COMP4011,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP8011
2026,COMP8020,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,,PGRD,In Person Co-taught Course COMP4020,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP8020
2026,COMP8045,Programs and Courses,6 units,School of Computing,ANU College of Systems and Society,Computer Science,"Computer Science, Information Technology, Computer Systems",PGRD,In Person Co-taught Course COMP4045,Second Semester 2026 See Future Offerings,https://programsandcourses.anu.edu.au/2026/course/COMP8045
